id,sales_id,feature_id,location_id,bedrooms,squareFootage,bathrooms,lotSize,lastSalePrice,lastSaleDate,longitude,latitude
4714665216,2,5,71,0.0,0.0,0.0,0.0,0.0,Not available,-117.115509,33.497163
4714665440,45,55,72,1.0,630.0,1.0,0.0,66000.0,2002-02-01T00:00:00.000Z,-80.104208,26.222943
4715878608,46,56,73,2.0,2303.0,2.5,9148.0,425000.0,2021-10-14T00:00:00.000Z,-82.284195,29.119772
4715878896,2,57,74,3.0,1220.0,3.0,1500.0,0.0,Not available,-77.403783,38.893585
4715879088,2,5,75,0.0,0.0,0.0,0.0,0.0,Not available,-86.904275,40.037866
4715879280,47,5,76,0.0,0.0,0.0,0.0,415000.0,2019-06-27T00:00:00.000Z,-83.029134,39.958662
4715879472,2,5,77,0.0,0.0,0.0,0.0,0.0,Not available,-87.946649,43.042057
4715879664,2,58,78,3.0,2077.0,2.5,10019.0,0.0,Not available,-83.312254,42.184273
4715879856,48,59,79,3.0,1701.0,2.0,5532.0,175000.0,2013-04-12T00:00:00.000Z,-81.780946,26.579504
4715880240,49,60,80,2.0,836.0,1.0,6812.0,135000.0,2021-05-20T00:00:00.000Z,-82.414195,28.026467
4715954416,50,19,81,3.0,1812.0,2.0,6534.0,358310.0,2023-06-16T00:00:00.000Z,-82.46094,34.900619
4715954608,2,5,82,0.0,0.0,0.0,0.0,0.0,Not available,-86.977689,34.521312
4714665776,51,24,83,4.0,4138.0,4.5,75794.0,1520000.0,2022-08-11T00:00:00.000Z,-85.623765,42.956505
4715954800,2,5,84,0.0,0.0,0.0,0.0,0.0,Not available,-111.877277,40.688339
4715954992,52,35,85,0.0,0.0,0.0,87991.0,75000.0,2007-01-24T00:00:00.000Z,-76.59473,36.035334
4715959360,2,5,86,0.0,0.0,0.0,0.0,0.0,Not available,-80.6727,32.4337
4715955472,53,61,87,3.0,1216.0,1.5,19166.0,69000.0,1998-01-01T00:00:00.000Z,-97.893405,38.092794
4715955856,54,62,88,3.0,1534.0,2.0,6599.0,159900.0,2004-09-15T00:00:00.000Z,-81.513255,30.316527
4715956048,2,32,89,3.0,1319.0,1.0,3955.0,0.0,Not available,-71.082863,42.28857
4715956432,55,63,90,2.0,972.0,1.0,7300.0,119400.0,2020-11-25T00:00:00.000Z,-92.594656,34.564968
4715961600,2,5,91,0.0,0.0,0.0,0.0,0.0,Not available,-84.203573,39.757333
4715956624,2,5,92,0.0,0.0,0.0,0.0,0.0,Not available,-79.265243,34.198265
4715956912,56,64,93,3.0,2169.0,2.5,14375.0,312000.0,2020-11-19T00:00:00.000Z,-78.647258,33.877814
4715957104,2,5,94,0.0,0.0,0.0,0.0,0.0,Not available,-81.325012,41.088737
4715957488,57,65,95,4.0,3478.0,3.5,14013.0,357000.0,2001-06-22T00:00:00.000Z,-71.135475,42.691118
4715957776,58,19,96,0.0,1249.0,0.0,0.0,132100.0,2014-09-09T00:00:00.000Z,-91.009224,30.456349
4715958160,59,66,97,4.0,2381.0,3.5,11200.0,676500.0,1989-08-31T00:00:00.000Z,-122.059545,37.327643
4716032336,60,67,98,3.0,1274.0,1.0,10625.0,124000.0,2009-01-20T00:00:00.000Z,-95.958679,41.134326
4716032720,2,68,99,4.0,1606.0,3.0,10454.0,0.0,Not available,-95.278736,38.9797
4716032912,2,5,100,0.0,0.0,0.0,0.0,0.0,Not available,-97.773931,30.262285
4716033104,61,69,101,2.0,779.0,2.0,0.0,579384.0,2013-11-26T00:00:00.000Z,-73.827027,40.755493
4716033488,62,70,102,3.0,1256.0,1.0,6247.0,0.0,1998-05-06T00:00:00.000Z,-97.387042,32.734104
4716033680,2,5,103,0.0,0.0,0.0,0.0,0.0,Not available,-112.870775,32.384267
4714666448,2,5,104,0.0,0.0,0.0,0.0,0.0,Not available,-82.656282,27.855863
4716034064,63,71,105,4.0,1320.0,2.0,7204.0,161000.0,1996-02-29T00:00:00.000Z,-117.911109,34.14787
4716034352,64,72,106,3.0,1846.0,2.0,8625.0,119000.0,2006-09-14T00:00:00.000Z,-97.556974,35.586743
4716034736,65,73,107,0.0,1500.0,0.0,9300.0,290000.0,2019-10-16T00:00:00.000Z,-74.454647,40.607236
4716034928,66,24,108,4.0,2252.0,2.0,26136.0,128000.0,2014-06-02T00:00:00.000Z,-76.246993,36.343352
