lastSalePrice,lastSaleDate,sales_id
193500.0,1994-04-28T00:00:00.000Z,117
443700.0,2022-07-29T00:00:00.000Z,118
0.0,2005-10-04T00:00:00.000Z,119
490000.0,2011-11-10T00:00:00.000Z,120
0.0,2006-06-06T00:00:00.000Z,121
96000.0,2017-04-21T00:00:00.000Z,122
330000.0,2022-08-05T00:00:00.000Z,123
198100.0,2017-12-26T00:00:00.000Z,124
0.0,2005-04-06T00:00:00.000Z,125
134900.0,1991-02-08T00:00:00.000Z,126
102000.0,2010-08-31T00:00:00.000Z,127
79000.0,1991-05-31T00:00:00.000Z,128
110000.0,2018-03-21T00:00:00.000Z,129
176000.0,2005-01-27T00:00:00.000Z,130
257100.0,2017-05-26T00:00:00.000Z,131
126500.0,1999-03-03T00:00:00.000Z,132
0.0,2019-04-25T00:00:00.000Z,133
46550.0,2012-10-11T00:00:00.000Z,134
0.0,2018-06-29T00:00:00.000Z,135
137000.0,2023-10-30T00:00:00.000Z,136
850000.0,2006-08-22T00:00:00.000Z,137
38000.0,1977-06-01T00:00:00.000Z,138
177000.0,2021-09-22T00:00:00.000Z,139
76800.0,2006-03-10T00:00:00.000Z,140
209000.0,2011-02-09T00:00:00.000Z,141
127500.0,1996-11-21T00:00:00.000Z,142
129500.0,1994-11-09T00:00:00.000Z,143
100.0,1996-04-12T00:00:00.000Z,144
385000.0,2023-08-22T00:00:00.000Z,145
143000.0,2018-09-10T00:00:00.000Z,146
515000.0,2022-08-30T00:00:00.000Z,147
105000.0,2021-02-08T00:00:00.000Z,148
320000.0,2022-10-26T00:00:00.000Z,149
557500.0,2005-06-27T00:00:00.000Z,150
366000.0,2004-08-27T00:00:00.000Z,151
0.0,2020-11-23T00:00:00.000Z,152
317900.0,2022-07-29T00:00:00.000Z,153
79400.0,1985-06-03T00:00:00.000Z,154
735500.0,2019-02-21T00:00:00.000Z,155
0.0,2013-08-14T00:00:00.000Z,156
32000.0,2018-01-11T00:00:00.000Z,157
10070.0,2018-04-10T00:00:00.000Z,158
79000.0,2020-10-08T00:00:00.000Z,159
54900.0,1992-06-04T00:00:00.000Z,160
330000.0,2021-07-07T00:00:00.000Z,161
64500.0,2004-03-05T00:00:00.000Z,162
1175000.0,2018-04-03T00:00:00.000Z,163
280000.0,2005-10-28T00:00:00.000Z,164
400000.0,2002-05-01T00:00:00.000Z,165
160000.0,2023-09-28T00:00:00.000Z,166
321000.0,2022-05-20T00:00:00.000Z,167
200000.0,2008-09-19T00:00:00.000Z,168
18000.0,1973-06-01T00:00:00.000Z,169
31000.0,1999-11-05T00:00:00.000Z,170
409500.0,2019-05-29T00:00:00.000Z,171
0.0,2014-06-04T00:00:00.000Z,172
0.0,2002-04-03T00:00:00.000Z,173
456000.0,2023-09-01T00:00:00.000Z,174
149500.0,2002-11-22T00:00:00.000Z,175
310000.0,2005-05-26T00:00:00.000Z,176
220000.0,2021-05-18T00:00:00.000Z,177
0.0,2012-09-25T00:00:00.000Z,178
0.0,2015-11-06T00:00:00.000Z,179
2415000.0,2021-06-25T00:00:00.000Z,180
0.0,2023-03-14T00:00:00.000Z,181
2700000.0,2023-04-13T00:00:00.000Z,182
440000.0,2021-07-09T00:00:00.000Z,183
320000.0,2023-05-30T00:00:00.000Z,184
0.0,2013-06-27T00:00:00.000Z,185
159900.0,2013-06-03T00:00:00.000Z,186
335000.0,2018-08-31T00:00:00.000Z,187
363990.0,2022-07-06T00:00:00.000Z,188
0.0,2013-08-21T00:00:00.000Z,189
360000.0,2019-02-04T00:00:00.000Z,190
179000.0,2022-11-14T00:00:00.000Z,191
205022.0,2018-03-13T00:00:00.000Z,192
139900.0,2002-12-20T00:00:00.000Z,193
855000.0,2007-08-01T00:00:00.000Z,194
60000.0,2016-10-14T00:00:00.000Z,195
170000.0,2019-01-04T00:00:00.000Z,196
0.0,2021-08-26T00:00:00.000Z,197
139900.0,2020-06-29T00:00:00.000Z,198
660000.0,2005-05-20T00:00:00.000Z,199
600000.0,2019-03-28T00:00:00.000Z,200
872508.0,2021-02-11T00:00:00.000Z,201
700007.0,2014-06-12T00:00:00.000Z,202
0.0,2012-05-17T00:00:00.000Z,203
790000.0,2006-04-07T00:00:00.000Z,204
140000.0,1991-04-22T00:00:00.000Z,205
365000.0,2008-11-10T00:00:00.000Z,206
105000.0,2018-06-27T00:00:00.000Z,207
50000.0,2015-10-15T00:00:00.000Z,208
148000.0,2017-05-17T00:00:00.000Z,209
0.0,2005-01-24T00:00:00.000Z,210
0.0,2012-03-22T00:00:00.000Z,211
